============================================================
  MedGemma GGUF Evaluation Report
  Majority-Vote Methodology (5 runs per image)
============================================================

Model : medgemma-1.5-4b-it-Q4_K_M.gguf
MMProj: mmproj-BF16.gguf
Prompt: Is this chest X-ray normal or abnormal? Answer with: NORMAL or ABNORMAL, then confidence percentage.
Params: temperature=1.0, min_p=0.2
Runs per image: 5
Test set: 200 samples (Tawsifurrahman independent)

------------------------------------------------------------
  Base Model: 84.0%
------------------------------------------------------------
  Sensitivity: 73.0%  |  Specificity: 95.0%
  PPV: 93.6%  |  NPV: 77.9%  |  F1: 0.820
  Confusion: TP=73  FN=27  FP=5  TN=95

  img_0001.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0002.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=72%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0003.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0004.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=95%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0005.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=94%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0006.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0007.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=91%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0008.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=93%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0009.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0010.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0011.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0012.png              GT=NORMAL Pred=TB     [FAIL]  Vote=ABNORMAL (5/5)  Conf=87%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0013.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (3/5)  Conf=90%  Runs=[ABNORMAL/NORMAL/NORMAL/NORMAL/ABNORMAL]
  img_0014.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0015.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=98%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0016.png              GT=TB     Pred=TB     [OK]  Vote=ABNORMAL (5/5)  Conf=86%  Runs=[ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL/ABNORMAL]
  img_0017.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0018.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0019.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0020.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0021.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0022.png              GT=TB     Pred=NORMAL [FAIL]  Vote=NORMAL   (5/5)  Conf=99%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0023.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0024.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0025.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0026.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
  img_0027.png              GT=NORMAL Pred=TB     [FAIL]  Vote=ABNORMAL (3/5)  Conf=85%  Runs=[NORMAL/ABNORMAL/ABNORMAL/NORMAL/ABNORMAL]
  img_0028.png              GT=NORMAL Pred=NORMAL [OK]  Vote=NORMAL   (5/5)  Conf=100%  Runs=[NORMAL/NORMAL/NORMAL/NORMAL/NORMAL]
